"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","Create Categories - Duplicate Category Name","Schedule - Admin Automated","Sun May 18 21:32:08 GMT 2025","passed","Sun May 18 21:32:08 GMT 2025","Categories > Create Categories","Admin","",""
"","190","Update Category - Invalid field Value","Schedule - Admin Automated","Sun May 18 21:32:11 GMT 2025","failed","Sun May 18 21:32:11 GMT 2025","Categories > Update Category","Admin","",""
"","140","Create Product - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:16 GMT 2025","failed","Sun May 18 21:32:16 GMT 2025","Products > Create Product","Admin","",""
"","162","Update Product - Invalid product category id","Schedule - Admin Automated","Sun May 18 21:32:17 GMT 2025","failed","Sun May 18 21:32:17 GMT 2025","Products > Update Product","Admin","",""
"","220","Update Product - Missing Required field","Schedule - Admin Automated","Sun May 18 21:32:16 GMT 2025","failed","Sun May 18 21:32:17 GMT 2025","Products > Update Product","Admin","",""
"","155","Create Product Group -Empty Description Field","Schedule - Admin Automated","Sun May 18 21:32:11 GMT 2025","passed","Sun May 18 21:32:12 GMT 2025","Product Groups > Create Product Group","Admin","",""
"","119","Update Product - No Auth","Schedule - Admin Automated","Sun May 18 21:32:17 GMT 2025","passed","Sun May 18 21:32:17 GMT 2025","Products > Update Product","Admin","",""
"","168","Create Categories - Invalid Field Value","Schedule - Admin Automated","Sun May 18 21:32:08 GMT 2025","failed","Sun May 18 21:32:08 GMT 2025","Categories > Create Categories","Admin","",""
"","2592","Get Categories settings","Schedule - Admin Automated","Sun May 18 21:32:18 GMT 2025","passed","Sun May 18 21:32:21 GMT 2025","Settings > Get Categories settings","Admin","",""
"","214","Update Product Group - Invalid Product group ID","Schedule - Admin Automated","Sun May 18 21:32:13 GMT 2025","passed","Sun May 18 21:32:13 GMT 2025","Product Groups > Update Product Group","Admin","",""
"","541","Update Product Group - Success","Schedule - Admin Automated","Sun May 18 21:32:12 GMT 2025","passed","Sun May 18 21:32:13 GMT 2025","Product Groups > Update Product Group","Admin","",""
"","180","Create Product Group - Invalid Category ID","Schedule - Admin Automated","Sun May 18 21:32:12 GMT 2025","passed","Sun May 18 21:32:12 GMT 2025","Product Groups > Create Product Group","Admin","",""
"","132","Create Product Group - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:12 GMT 2025","passed","Sun May 18 21:32:12 GMT 2025","Product Groups > Create Product Group","Admin","",""
"","136","Fetch a Product - No Auth","Schedule - Admin Automated","Sun May 18 21:32:18 GMT 2025","passed","Sun May 18 21:32:18 GMT 2025","Products > Fetch a product","Admin","",""
"","165","Fetch a Product - Invalid Product ID","Schedule - Admin Automated","Sun May 18 21:32:18 GMT 2025","passed","Sun May 18 21:32:18 GMT 2025","Products > Fetch a product","Admin","",""
"","147","Fetch a Product - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:18 GMT 2025","failed","Sun May 18 21:32:18 GMT 2025","Products > Fetch a product","Admin","",""
"","203","Update Category - Success","Schedule - Admin Automated","Sun May 18 21:32:10 GMT 2025","passed","Sun May 18 21:32:10 GMT 2025","Categories > Update Category","Admin","",""
"","136","Update Product - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:17 GMT 2025","failed","Sun May 18 21:32:17 GMT 2025","Products > Update Product","Admin","",""
"","191","Create Product - Empty Name field","Schedule - Admin Automated","Sun May 18 21:32:15 GMT 2025","passed","Sun May 18 21:32:15 GMT 2025","Products > Create Product","Admin","",""
"","168","Create Product Group -Empty Name Field","Schedule - Admin Automated","Sun May 18 21:32:11 GMT 2025","passed","Sun May 18 21:32:11 GMT 2025","Product Groups > Create Product Group","Admin","",""
"","207","Update Product - Success","Schedule - Admin Automated","Sun May 18 21:32:16 GMT 2025","passed","Sun May 18 21:32:16 GMT 2025","Products > Update Product","Admin","",""
"","140","Create Categories - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:08 GMT 2025","failed","Sun May 18 21:32:08 GMT 2025","Categories > Create Categories","Admin","",""
"","173","Fetch a Product Group - Invalid Product group ID","Schedule - Admin Automated","Sun May 18 21:32:15 GMT 2025","passed","Sun May 18 21:32:15 GMT 2025","Product Groups > Fetch Product Group","Admin","",""
"","124","Get  a Category - No Auth","Schedule - Admin Automated","Sun May 18 21:32:10 GMT 2025","passed","Sun May 18 21:32:10 GMT 2025","Categories > Get Category","Admin","",""
"","219","Create Product - Empty required  field","Schedule - Admin Automated","Sun May 18 21:32:15 GMT 2025","passed","Sun May 18 21:32:16 GMT 2025","Products > Create Product","Admin","",""
"","128","Fetch Product Groups - Invalid Token","Schedule - Admin Automated","Sun May 18 21:32:14 GMT 2025","failed","Sun May 18 21:32:14 GMT 2025","Product Groups > Fetch Product Groups","Admin","",""
"","182","Update Product Group - Invalid Product group ID Copy","Schedule - Admin Automated","Sun May 18 21:32:13 GMT 2025","passed","Sun May 18 21:32:14 GMT 2025","Product Groups > Update Product Group","Admin","",""
"","135","Fetch Products - No Auth","Schedule - Admin Automated","Sun May 18 21:32:18 GMT 2025","passed","Sun May 18 21:32:18 GMT 2025","Products > Fetch Products","Admin","",""
